"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"84","Adam Smith","45","DEF","Bournemouth","0","315","0","300","0","360","0","137","0","false","0","Muscle injury - Unknown return date","15","0","0","0","0","0","0","0","0","135","0","0","0","140","2023-08-06 23:30:05.454","314","0","0","Smith","0","277","201","0","0","140","0","0","15","0","266","i","0","0","0","0","310","0","0","277","0","0","0","566","","0","132","41","360","0","0","0","113","0","0","0"
"85","Dominic Solanke","65","FWD","Bournemouth","7","10","40.6","40","1","27","72","6","1.07","false","1","","6106","0","0.14","1.07","1","2.2","0","1","0.14","4","0.98","0","1","8","","46","1.12","1","Solanke","0","6819","18","0.98","0","8","3.1","13.6","6106","1.12","3","a","7","1.1","0","7","17","0","0","6819","1.7","7","22","103","","1.1","4","17","27","0","0","23","3","0","1","90"
"86","Marcus Tavernier","55","MID","Bournemouth","0","614","0","612","0","619","0","250","0","false","0","Knock - Unknown return date","11","0","0","0","0","0","3","0","0","254","0","0","0","257","2023-07-26 15:30:04.076","117","0","0","Tavernier","0","367","225","0","0","257","0","0","11","0","608","i","0","0","0","0","610","0","0","367","0","0","0","571","4.0","0","253","72","619","0","0","0","249","0","0","0"
"87","Hamed Traorè","50","MID","Bournemouth","0","569","0","563","0","579","0","222","0","false","0","","25","0","0","0","0","1.6","6","0","0","226","0","0","0","231","","269","0","0","Hamed Traorè","0","157","226","0","0","231","0","0","25","0","557","a","0","0","0","0","564","0","0","157","1.1","0","0","572","1.0","0","224","173","579","0","0","0","218","0","0","0"
"88","Mark Travers","40","GKP","Bournemouth","0","264","0","248","0","311","0","46","0","false","0","On loan to Stoke City for the season","0","0","0","0","0","0","0","0","0","46","0","0","0","51","2023-07-28 08:25:34.409","609","0","0","Travers","0","1085","54","0","0","51","0.2","0","0","0","210","u","0","0","0","0","258","0","0","1085","0","0","0","352","","0","36","64","311","0","0","0","35","0","0","0"
"89","Illia Zabarnyi","45","DEF","Bournemouth","2","150","15.4","149","0","102","0","36","1.07","false","1","","142","0","0.01","1.07","1","2","0","1","0.01","56","0","0","0","37","","500","0.01","0","Zabarnyi","0","201","171","0","0","37","0.1","1.7","142","0.01","422","a","2","0.4","0","2","84","0","0","201","1.5","2","11","449","","0.4","49","145","102","0","0","1.2","191","0","1","90"
"595","Milos Kerkez","45","DEF","Bournemouth","2","481","0","474","0","103","0","201","1.07","false","1","","460","0","0.05","1.07","1","2","0","1","0.05","200","0","0","0","38","","540","0.05","0","Kerkez","0","378","121","0","0","38","0.2","0","460","0.05","458","a","2","0.4","0","2","476","0","0","378","1.5","2","11","315","","0.4","200","151","103","0","0","0","196","0","1","90"
"607","Ionuț Radu","45","GKP","Bournemouth","0","380","0","371","0","421","0","67","0","false","0","","41","0","0","0","0","2.4","0","0","0","67","0","0","0","69","","414","0","0","Radu","0","307","61","0","0","69","0.1","0","41","0","348","a","0","0","0","0","374","0","0","307","1.9","0","0","424","","0","62","26","421","0","0","0","62","0","0","0"
"619","Ben Greenwood","40","DEF","Bournemouth","0","294","0","278","0","340","0","124","0","false","0","","544","0","0","0","0","1","0","0","0","122","0","0","0","128","","641","0","0","Greenwood","0","338","152","0","0","128","0.1","0","544","0","241","a","0","0","0","0","289","0","0","338","0.5","0","0","395","","0","119","205","340","0","0","0","97","0","0","0"
"643","Max Aarons","45","DEF","Bournemouth","2","398","0","390","0","98","0","185","0.88","false","1","","1545","0","0.07","1.07","1","2","0","1.22","0.09","184","0","0","0","34","","441","0.07","0","Aarons","0","299","164","0","0","34","0.1","0","1545","0.09","371","a","2","0.4","0","2","392","0","0","299","1.5","2","17","428","","0.4","184","126","98","0","0","0","178","0","1.22","74"
"644","Alex Scott","50","MID","Bournemouth","0","586","0","580","0","593","0","231","0","false","0","Knee injury - Unknown return date","178","0","0","0","0","0","0","0","0","235","0","0","0","239","2023-08-11 16:00:09.116","294","0","0","Scott","0","173","248","0","0","239","0","0","178","0","574","i","0","0","0","0","581","0","0","173","0","0","0","610","","0","233","189","593","0","0","0","227","0","0","0"
"90","Kristoffer Ajer","45","DEF","Brentford","1","156","13.2","152","0","173","2","42","1.14","false","2","","1133","0","0.01","1.24","1","2","0","2.17","0.01","60","0","0","0","59","","388","0.01","0","Ajer","0","681","106","0","0","59","0.3","1.6","1133","0.01","117","a","1","0.2","0","1","100","0","0","681","2","1","7","281","","0.2","50","88","173","0","0","1","34","0","1.08","83"
"91","Ellery Balcombe","40","GKP","Brentford","0","269","0","253","0","316","0","47","0","false","0","","415","0","0","0","0","1","0","0","0","47","0","0","0","52","","614","0","0","Balcombe","0","324","47","0","0","52","0.3","0","415","0","215","a","0","0","0","0","263","0","0","324","1","0","0","295","","0","37","65","316","0","0","0","36","0","0","0"
"92","Shandon Baptiste","45","MID","Brentford","1","198","2.2","410","0","185","0","81","0.24","false","0","","3022","0","0.01","1.2","0","1","0","0","0.05","95","0","0","0","77","","464","0.01","0","Baptiste","0","7641","34","0","0","77","3.4","0.2","3022","0.05","391","a","1","0.2","0","1","177","0","0","7641","1","1","3","94","","0.2","127","231","185","0","0","0","113","0","0","18"
"93","Mads Bech Sørensen","40","DEF","Brentford","0","263","0","247","0","310","0","100","0","false","0","","366","0","0","0","0","1","0","0","0","99","0","0","0","106","","608","0","0","Bech","0","428","128","0","0","106","0.2","0","366","0","209","a","0","0","0","0","257","0","0","428","1","0","0","332","","0","96","180","310","0","0","0","73","0","0","0"
"94","Mads Bidstrup","45","MID","Brentford","0","448","0","441","0","485","0","142","0","false","0","Transfer to Red Bull Salzburg on a permanent basis","0","0","0","0","0","0","0","0","0","146","0","0","0","167","2023-07-19 08:50:35.624","503","0","0","Bidstrup","0","32","272","0","0","167","0","0","0","0","424","u","0","0","0","0","443","0","0","32","0","0","0","649","","0","145","251","485","0","0","0","131","0","0","0"
"95","Sergi Canós Tenés","50","MID","Brentford","0","531","0","525","0","552","0","201","0","false","0","","130","0","0","0","0","1.6","0","0","0","205","0","0","0","216","","216","0","0","Canós","0","223","188","0","0","216","0.1","0","130","0","513","a","0","0","0","0","527","0","0","223","1.6","0","0","515","","0","204","141","552","0","0","0","193","0","0","0"
"96","Nathan Collins","45","DEF","Brentford","1","112","20.8","157","0","187","4","21","1.26","false","2","","567","0","0.01","1.26","1","2","0","2","0.01","34","0","0","0","70","","467","0.01","0","Collins","0","455","110","0","0","70","0.3","2.6","567","0.01","103","a","1","0.2","0","1","59","0","0","455","2","1","16","287","","0.2","52","135","187","0","0","0.7","29","0","1","90"
"97","Matthew Cox","40","GKP","Brentford","0","302","0","286","0","347","0","57","0","false","0","On loan to Bristol Rovers for the season","0","0","0","0","0","0","0","0","0","57","0","0","0","62","2023-07-26 11:24:14.392","651","0","0","Cox","0","66","71","0","0","62","0","0","0","0","250","u","0","0","0","0","297","0","0","66","0","0","0","618","","0","47","75","347","0","0","0","46","0","0","0"
"98","Mikkel Damsgaard","50","MID","Brentford","1","104","10.4","175","0","223","17","46","0.57","false","0","","358","0","0.01","1.25","0","1.6","0","0","0.02","56","0.15","0","0","100","","276","0.08","0","Damsgaard","0","487","133","0.07","0","100","0.1","2.8","358","0.17","50","a","1","0.2","0","1","119","0","0","487","1.6","1","4","411","","0.2","93","178","223","0","0","0.3","27","0","0","41"
"99","Josh Dasilva","50","MID","Brentford","0","536","0","530","0","555","0","205","0","false","0","","315","0","0","0","0","1.6","0","0","0","209","0","100","0","218","2023-08-06 23:30:05.481","222","0","4","Dasilva","0","530","132","0","0","218","0.1","0","315","0","519","a","0","0","0","0","532","0","0","530","1.6","0","0","410","","0","208","146","555","0","0","0","198","100","0","0"
"100","Halil Dervişoğlu","45","FWD","Brentford","0","423","0","416","0","460","0","31","0","false","0","Transfer to Galatasaray on a permanent basis","0","0","0","0","0","0","0","0","0","34","0","0","0","46","2023-07-19 08:49:49.674","471","0","0","Dervişoğlu","0","127","82","0","0","46","0","0","0","0","397","u","0","0","0","0","417","0","0","127","0","0","0","606","","0","33","74","460","0","0","0","34","0","0","0"
"101","Mark Flekken","45","GKP","Brentford","2","342","0","331","0","92","0","64","1.26","false","2","","2800","0","0","1.26","1","2.4","0","2","0","64","0","0","0","13","","355","0","0","Flekken","0","1738","17","0","0","13","1.9","0","2800","0","301","a","2","0.4","4","2","337","0","0","1738","2.4","2","17","129","","0.4","58","22","92","4","0","0","58","0","1","90"
"102","Charlie Goode","40","DEF","Brentford","0","257","0","240","0","304","0","98","0","false","0","","212","0","0","0","0","1","0","0","0","97","0","0","0","104","","601","0","0","Goode","0","321","145","0","0","104","0.2","0","212","0","202","a","0","0","0","0","251","0","0","321","1","0","0","372","","0","94","178","304","0","0","0","71","0","0","0"
"103","Rico Henry","45","DEF","Brentford","4","40","31","27","0","54","6","8","1.26","false","2","","17838","0","0.74","1.26","1","2","0","2","0.74","7","0","100","0","20","2023-08-06 23:30:05.495","391","0.74","0","Henry","0","2048","38","0","0","20","2.3","6.3","17838","0.74","89","a","4","0.9","0","4","31","1","0","2048","2","4","20","118","","0.9","6","91","54","0","0","26.3","22","100","1","90"
